孛	4174
焙	2106
邶	1964
陂	1847
钡	1286
褙	1143
碚	1051
鞴	971
鐾	947
鹎	922
棓	906
糒	906
琲	904
椑	902
臂	901
鞁	901
𬇙	900
本	2580424
奔	265700
笨	101729
贲	5501
苯	3945
锛	1383
畚	1055
犇	989
坌	944
倴	903
栟	902
夯	900
崩	62188
蹦	50481
绷	29920
迸	18562
甭	11011
嘣	5387
泵	2453
镚	1011
甏	965
琫	905
祊	902
蚌	901
比	1845094
必	941685
毕	434406
笔	274760
避	268946
闭	242427
鼻	198896
逼	193755
屄	192291
臂	191491
壁	183639
彼	142282
碧	114518
币	105605
陛	77214
鄙	57140
蔽	36996
匕	36473
毙	33780
辟	30151
婢	24951
弊	21659
璧	15508
庇	13466
敝	11051
痹	10648
弼	9149
贲	5501
俾	4764
裨	3221
薜	3067
哔	2831
愎	2289
吡	1594
跸	1527
妣	1509
篦	1450
荜	1450
狴	1436
毖	1323
蓖	1217
嬖	1199
筚	1190
髀	1153
荸	1123
濞	1091
畀	1089
赑	1044
秕	1023
箅	1001
芘	1001
佛	1000
襞	982
苾	968
滗	947
铋	943
庳	936
萆	936
皕	927
咇	926
舭	920
沘	919
珌	918
觱	916
诐	914
邲	909
佖	907
馝	903
坒	902
泌	901
秘	901
鲾	900
边	2449515
便	1736157
变	1429720
遍	248765
编	168498
辩	84464
鞭	65799
辨	52342
扁	38557
辫	17959
贬	17655
蝙	16904
匾	8682
卞	7101
汴	6536
弁	2361
砭	1671
煸	1541
褊	1172
笾	1002
鳊	998
昪	996
忭	974
苄	951
抃	926
碥	916
萹	905
𨚕	900
表	1304218
标	353417
镖	64900
彪	43148
飙	13131
婊	10891
骠	4068
镳	4037
膘	3259
裱	2646
杓	1304
飑	1058
俵	1057
鳔	1014
摽	990
瘭	935
熛	913
藨	908
儦	905
骉	902
瀌	901
幖	900
脿	900
别	2001657
憋	42612
瘪	12146
鳖	7899
蹩	4520
癿	904
宾	118498
彬	61298
斌	48927
滨	27567
鬓	12628
缤	8265
镔	7759
濒	7697
槟	5389
殡	4916
膑	2702
摈	1814
玢	1492
傧	1231
豳	1126
邠	1059
髌	1006
并	1625489
兵	1227704
冰	535462
病	506856
柄	77745
饼	41271
禀	35472
秉	20731
丙	12070
炳	10033
槟	5389
摒	4966
屏	1900
邴	1422
昺	1046
栟	902
蛃	900
波	378682
伯	290044
博	187189
薄	144189
脖	119948
拨	106655
播	85253
勃	82708
玻	75000
膊	74883
柏	56986
搏	50612
驳	46973
剥	43175
泊	42421
簸	10737
帛	9039
钵	8394
跛	6114
渤	5117
菠	4956
礴	4939
孛	4174
啵	3383
舶	3333
卜	2900
饽	2727
铂	2344
钹	2276
箔	2133
亳	1742
擘	1703
趵	1241
檗	1146
鹁	1000
僰	988
踣	983
镈	954
砵	918
鲌	914
哱	911
嶓	911
浡	906
馞	904
艴	901
蕃	901
欂	900
袯	900
𬭛	900
不	2986709
